Date,Open,High,Low,Close,Adj Close,Volume
2017-12-26,7.470000,7.510000,7.370000,7.380000,7.267069,155519
2017-12-27,7.490000,7.530000,7.425000,7.460000,7.345844,115014
2017-12-28,7.460000,7.460000,7.230000,7.230000,7.119364,293039
2018-01-01,7.230000,7.335000,7.170000,7.230000,7.119364,347910
2018-01-02,7.210000,7.310000,7.060000,7.080000,6.971659,413120
2018-01-03,7.180000,7.280000,7.115000,7.220000,7.109517,332837
2018-01-04,7.280000,7.280000,7.010000,7.040000,6.932271,383540
2018-01-07,7.040000,7.130000,7.040000,7.100000,6.991353,158496
2018-01-08,7.130000,7.170000,7.070000,7.100000,6.991353,223499
2018-01-09,7.080000,7.120000,7.050000,7.050000,6.942119,356252
2018-01-10,7.050000,7.080000,6.990000,7.070000,6.961812,323160
2018-01-11,7.040000,7.070000,6.980000,6.980000,6.873190,307408
2018-01-14,6.990000,7.010000,6.820000,6.830000,6.725485,335648
2018-01-15,6.820000,6.980000,6.810000,6.960000,6.853496,483830
2018-01-16,6.970000,7.000000,6.915000,6.960000,6.853496,273584
2018-01-17,7.000000,7.060000,6.860000,6.870000,6.764873,284205
2018-01-18,6.940000,7.000000,6.850000,6.980000,6.873190,334228
2018-01-21,6.980000,7.135000,6.980000,7.110000,7.001201,613528
2018-01-22,7.120000,7.150000,7.000000,7.060000,6.951965,225885
2018-01-23,7.120000,7.140000,7.040000,7.070000,6.961812,263524
2018-01-24,7.050000,7.110000,7.000000,7.110000,7.001201,321699
2018-01-28,7.140000,7.290000,7.110000,7.270000,7.158751,321693
2018-01-29,7.350000,7.360000,7.030000,7.030000,6.922425,456527
2018-01-30,7.000000,7.060000,6.860000,7.050000,6.942119,909684
2018-01-31,7.050000,7.195000,7.000000,7.130000,7.020894,822178
2018-02-01,7.100000,7.250000,7.090000,7.150000,7.040588,331355
2018-02-04,7.040000,7.070000,6.960000,7.050000,6.942119,432214
2018-02-05,6.900000,6.910000,6.720000,6.850000,6.745179,1129345
